fiscal_year,firm,status,ticker,leverage_ratio,cash_coverage,level3_pct,provision_for_losses,net_income,provision_for_losses_yoy_pct,net_income_yoy_pct,equity_to_assets_pct
2005,AIG,failed,AIG,13.522802903052007,0.045043435538980325,,1531000000.0,10477000000,,,7.3949166246762825
2006,AIG,failed,AIG,14.054326936867167,0.04743265024176836,,1327000000.0,14048000000,-13.324624428478115,34.08418440393242,7.115246461051153
2007,AIG,failed,AIG,13.542395607202145,0.033626504430630866,,2170000000.0,6200000000,63.52675207234364,-55.865603644646924,7.3842178961909655
2008,AIG,failed,AIG,11.628841735369644,0.07225674798256192,,6822000000.0,-99289000000,214.37788018433181,-1701.4354838709678,8.599308708093043
2005,Bear Stearns,failed,BSC,25.327266483516482,0.3183848615947381,,,2054000000,,,3.948313966889482
2006,Bear Stearns,failed,BSC,27.182206019236737,0.2411253383302103,,,2054000000,,0.0,3.6788772746858887
2007,Bear Stearns,failed,BSC,33.51093405661977,0.20788793103448275,,,233000000,,-88.65628042843232,2.984100647001988
2005,JPMorgan Chase,survived,JPM,11.183012937105334,0.640210901218618,,5790000000.0,8483000000,,,8.942133981460321
2006,JPMorgan Chase,survived,JPM,11.310737300192486,0.5710039259674705,,3270000000.0,14444000000,-43.523316062176164,70.26995166804197,8.841156623653369
2007,JPMorgan Chase,survived,JPM,11.26870667330318,0.47558346167515697,,6864000000.0,15365000000,109.90825688073396,6.376350041539736,8.874132844092138
2008,JPMorgan Chase,survived,JPM,13.033316555212004,0.2443644887834928,,20979000000.0,5605000000,205.63811188811187,-63.520989261308166,7.672644148277834
2005,Lehman Brothers,failed,LEH,25.945143941790572,0.18384753321991815,,,3260000000,,,3.8542858048641304
2006,Lehman Brothers,failed,LEH,26.589132960185868,0.11819746181974618,,,4007000000,,22.91411042944784,3.7609349710552187
2007,Lehman Brothers,failed,LEH,30.72073794176484,0.0488383628490609,,,4192000000,,4.6169203893186905,3.2551301400885304
2005,Wells Fargo,survived,WFC,12.36838593790095,0.21772214040255278,,2383000000.0,7671000000,,,8.085129337172923
2006,Wells Fargo,survived,WFC,11.85824,0.17457706766917294,,2174000000.0,8420000000,-8.770457406630294,9.764046408551685,8.432954637450415
2007,Wells Fargo,survived,WFC,12.09038764576111,0.14355816597195908,,4939000000.0,8057000000,127.18491260349585,-4.311163895486936,8.271033396936616
2008,Wells Fargo,survived,WFC,12.275870795995651,0.22357322921207756,,15979000000.0,2655000000,223.52702976310997,-67.04728807248355,8.146061624615639
