firm,ticker,status,fiscal_year,total_assets,total_liabilities,stockholders_equity,cash_and_equivalents,short_term_borrowings,net_income,provision_for_loan_losses
Lehman Brothers,LEH,failed,2005,410063000000,394258000000,15805000000,7997000000,43498000000,3260000000,
Lehman Brothers,LEH,failed,2006,503545000000,484607000000,18938000000,6594000000,55788000000,4007000000,
Lehman Brothers,LEH,failed,2007,691063000000,668568000000,22495000000,7286000000,149186000000,4192000000,
Bear Stearns,BSC,failed,2005,295012000000,283364000000,11648000000,9052000000,28431000000,2054000000,
Bear Stearns,BSC,failed,2006,350433000000,337541000000,12892000000,9265000000,38424000000,2054000000,
Bear Stearns,BSC,failed,2007,395362000000,383564000000,11798000000,9646000000,46400000000,233000000,
AIG,AIG,failed,2005,853370000000,790264000000,63106000000,2017000000,44779000000,10477000000,1531000000.0
AIG,AIG,failed,2006,979952000000,909684000000,69726000000,2266000000,47773000000,14048000000,1327000000.0
AIG,AIG,failed,2007,1060505000000,982168000000,78310000000,2034000000,60488000000,6200000000,2170000000.0
AIG,AIG,failed,2008,860418000000,807708000000,73990000000,3116000000,43124000000,-99289000000,6822000000.0
JPMorgan Chase,JPM,survived,2005,1198942000000,1091731000000,107211000000,36670000000,57278000000,8483000000,5790000000.0
JPMorgan Chase,JPM,survived,2006,1351520000000,1232030000000,119490000000,40724000000,71320000000,14444000000,3270000000.0
JPMorgan Chase,JPM,survived,2007,1562147000000,1423520000000,138627000000,40144000000,84410000000,15365000000,6864000000.0
JPMorgan Chase,JPM,survived,2008,2175052000000,2008168000000,166884000000,26895000000,110061000000,5605000000,20979000000.0
Wells Fargo,WFC,survived,2005,481996000000,443026000000,38970000000,8870000000,40740000000,7671000000,2383000000.0
Wells Fargo,WFC,survived,2006,481741000000,441116000000,40625000000,7430000000,42560000000,8420000000,2174000000.0
Wells Fargo,WFC,survived,2007,575442000000,527847000000,47595000000,7577000000,52780000000,8057000000,4939000000.0
Wells Fargo,WFC,survived,2008,1309639000000,1202955000000,106684000000,23591000000,105518000000,2655000000,15979000000.0
